PersonCode,Status,LocalFirstName,LocalLastName,LocalLanguageCode,PreferredName,LatinFirstName,LatinLastName,DateOfBirth,Gender,Nationality,CountryOfBirth,RegionOfBirth,PlaceOfBirth,Fax,Phone,Address1,Address2,PostalCode,Suburb,State,Email,DemographicField2,DemographicField3,DemographicField4,DemographicField5,DemographicField6,
21243396,Active,JOONAS,LEVOMAA,,,,,1994/09/06,MALE,FIN,,,,,,MALSAKIVENTIE 3,,41230,LEPPÄKOSKI,,tapio.isoaho@tuurinasema.invalid,,,,,,
21243422,Active,RUUT,ALMENOKSA,,,,,2004/09/26,MALE,FIN,,,,,0408464653,Pekkolantie 7,,20240,SEINÄJOKI,,,,,,,,
21243435,Active,NUUTTI,HAVERINEN,,,,,1998/03/27,MALE,FIN,,,,,,PAASIVUORENKATU 8 B 33,,16260,HYVINKÄÄ,,pietila.mika@dnainternet.invalid,,,,,,
21243464,Active,IIRO,HEISKANEN,,,,,2002/12/12,MALE,FIN,,,,,,KUMPULANTIE 3 A 2,,00170,HÄMEENLINNA,,,,,,,,
21243477,Active,MATTI,LINDBERG,,,,,1992/05/11,MALE,FIN,,,,,0400729495,AURINGONKEHRÄ 39,,53600,KOTKA,,tiinapaldan@yahoo.invalid,,,,,,
21243503,Active,PAAVO,MÄKINEN,,,,,2000/07/09,MALE,FIN,,,,,,HAAPATIE 15,,33480,SALO,,,,,,,,
21243516,Active,WALTER,ÖLANDER,,,,,1981/05/13,MALE,FIN,,,,,,SOLNANTIE 32 A 29,,80160,HALIKKO,,maaret.lindberg@pp.inet.invalid,,,,,,
21243529,Active,ERAY,DAHLBACKA,,,,,1990/08/11,FEMALE,FIN,,,,,050 337 6456,VILKKUPOIJU 13 A 2,,22630,LEHTIMÄKI,,heli.i@hotmail.invalid,,,,,,
21243532,Active,MICHAEL,TYRVÄINEN,,,,,1992/07/17,FEMALE,FIN,,,,,050-574 8982,LUHTARANNANTIE 11,,95420,SÄYNÄTSALO,,,,,,,,
21243558,Active,JOHAN,RYYNÄNEN,,,,,1998/06/28,MALE,FIN,,,,,,TUUSULANTIE 58 A 3,,38200,HELSINKI,,pia.javanainen@luukku.invalid,,,,,,
21243561,Active,JOONAS,ESKOLA,,,,,1972/05/07,FEMALE,FIN,,,,,,Luhtipolku 21 A 66,,95900,KEMPELE,,,,,,,,
21243574,Active,MIIKA,KOHTAMÄKI,,,,,2005/09/21,MALE,SGP,,,,,0174633705,Tuulimyllynkuja 4,,00300,KERAVA,,,,,,,,
21243587,Active,JASPER,RAITALA,,,,,1994/01/21,FEMALE,FIN,,,,,0504383815,Kulottajantie 4 F 89 ,,00770,ALASTARO,,,,,,,,
21243590,Active,JUHANI,PALOMÄKI,,,,,1983/03/22,MALE,FIN,,,,,,VEHKALANTIE 17B,,00660,VANTAA,,,,,,,,
21243626,Active,VILI,VIITA,,,,,2007/08/04,MALE,FIN,,,,,033774711,PERKIÖNTIE 6 A 5,,00870,KAJAANI,,velimatti.vainonen@gmail.invalid,,,,,,
21243642,Active,TIMO,PALOMAA,,,,,1999/02/17,MALE,FIN,,,,,,RAJAVARTIOSTO 4 AS. 4,,29200,OULU,,jessicamikkola@gmail.invalid,,,,,,
21243655,Active,KUUTTI,KÄHKÖNEN,,,,,2003/05/31,MALE,FIN,,,,,,LOIMUKATU 10,,00320,VIIALA,,jaana2.rasanen@pp.inet.invalid,,,,,,
21243671,Active,TIA,PORVARI,,,,,2003/04/18,MALE,FIN,,,,,03-3432940,LEPOLANTIE 1 A,,33820,KAAKAMO,,twihlman@gmail.invalid,,,,,,
21243697,Active,OWEN,VARIS,,,,,1984/03/20,MALE,FIN,,,,,,PARMAAJANTIE 7 A 9,,02820,ESPOO,,,,,,,,
21243710,Active,OONA ,ONKALO,,,,,1998/02/11,MALE,FIN,,,,,,VUORELANTIE 125,,20100,ESPOO,,outituominen@hotmail.invalid,,,,,,
21243736,Active,TUOMAS,AHOSNIEMI,,,,,1986/03/18,MALE,FIN,,,,,0400-765631,KARKUKSENKATU 1,,04230,LEMPÄÄLÄ,,guled41@hotmail.invalid,,,,,,
21243778,Active,ALEKSI,VAIHI,,,,,1996/01/19,MALE,FIN,,,,,050-5811526,ISO-PERENTIE 40,,33250,ESPOO,,matti.vatanen@elisa.invalid,,,,,,
21243804,Active,MIIKA,HIRVONEN,,,,,1991/05/10,MALE,FIN,,,,,040  5265281,NUOTTANIEMENTIE 4 A 2,,51900,HELSINKI,,gard.bjorklund@gmail.invalid,,,,,,
21243817,Active,RASMUS,OWEN,,,,,1989/08/30,MALE,FIN,,,,,,ÖSTERBACKAVÄGEN 15,,00550,PEIPOHJA,,,,,,,,
21243820,Active,OUTI,MÄKINEN,,,,,1984/01/14,MALE,SGP,,,,,02-2377448,uunintekijäntie 7 b,,15610,KANGASALA,,linda.invalidimodig@uta.invalid,,,,,,
21243833,Active,RONI,VENÄLÄINEN,,,,,1999/06/24,MALE,FIN,,,,,09-5626551,KAERLANTIE 8H 95,,05830,LAPPEENRANTA,,quendi_@hotmail.invalid,,,,,,
21243846,Active,HELENA,MUSAKKA,,,,,1955/02/06,MALE,FIN,,,,,,Pohjavedenkatu 4 B 33,,01520,ROVANIEMI,,,,,,,,
21243859,Active,MIIKKA,TOURA,,,,,1989/05/20,MALE,FIN,,,,,,Laajavuorentie 3 B 24,,32200,VANTAA,,info@vpsjuniorit.invalid,,,,,,
21243862,Active,RIKHARD,MÄKELÄ,,,,,2004/09/05,MALE,FIN,,,,,0405364505,VAINIONKATU 25,,00520,OULUNSALO,,miia@kotikone.invalid,,,,,,
21243875,Active,PETRI,RÖTKÖ,,,,,2009/09/15,MALE,FIN,,,,,-,JUHANINKATU 2 C 22,,78500,TAMPERE,,,,,,,,
21243888,Active,JÖRG,NISKALA,,,,,2002/05/22,MALE,FIN,,,,,040-7574818,TAMPEREENTIE 414 B 12,,00930,KELLOKOSKI,,christer.westerback@kolumbus.invalid,,,,,,
21243891,Active,SEVERI,LUND,,,,,1961/11/19,MALE,FIN,,,,,,KLÖVERVÄGEN 10 B 7,,04330,VALKEAKOSKI,,,,,,,,
